"id_sensor","time","saddr","mosf1_min","mosf1_avg","mosf2_min","mosf2_avg","mosAD_min","mosAD_avg","jitter_max","jitter_avg","loss_max_mult10","loss_avg_mult10","counter"
801,"2018-05-14 00:04:30",3227975507,45,45,45,45,45,45,0,0,0,0,2
802,"2018-05-14 00:04:30",3227975507,45,45,45,45,45,45,0,0,0,0,2
801,"2018-05-14 00:04:30",3494121763,45,45,45,45,45,45,2,2,0,0,1
802,"2018-05-14 00:04:30",3494121763,45,45,45,45,45,45,2,2,0,0,1
801,"2018-05-14 00:04:40",70713922,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:04:40",70713922,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:04:40",845308522,45,45,45,45,45,45,1,1,0,0,1
501,"2018-05-14 00:04:40",3227975250,45,45,45,45,45,45,0,0,0,0,2
801,"2018-05-14 00:04:40",3227975507,45,45,45,45,45,45,0,0,1,0,2
802,"2018-05-14 00:04:40",3227975507,45,45,45,45,45,45,0,0,0,0,2
801,"2018-05-14 00:04:40",3494121763,45,45,45,45,45,45,3,3,0,0,1
802,"2018-05-14 00:04:40",3494121763,45,45,45,45,45,45,4,4,0,0,1
501,"2018-05-14 00:04:40",3495526934,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:04:50",70713922,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:04:50",70713922,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:04:50",845308522,45,45,45,45,45,45,1,1,0,0,1
501,"2018-05-14 00:04:50",3227975250,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:04:50",3227975251,45,45,45,45,45,45,0,0,0,0,2
801,"2018-05-14 00:04:50",3227975507,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:04:50",3227975507,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:04:50",3429196867,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:04:50",3475127854,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:04:50",3494121763,45,45,45,45,45,45,2,2,0,0,1
802,"2018-05-14 00:04:50",3494121763,45,45,45,45,45,45,2,2,0,0,1
501,"2018-05-14 00:04:50",3495526934,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:05:00",70713922,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:05:00",70713922,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:05:00",3227975250,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:05:00",3227975251,45,45,45,45,45,45,0,0,0,0,2
801,"2018-05-14 00:05:00",3227975507,45,45,45,45,45,45,0,0,0,0,2
802,"2018-05-14 00:05:00",3227975507,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:05:00",3429196867,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:05:00",3475127854,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:05:00",3494121763,45,45,45,45,45,45,3,3,0,0,1
802,"2018-05-14 00:05:00",3494121763,45,45,45,45,45,45,3,3,0,0,1
501,"2018-05-14 00:05:00",3495526934,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:05:10",70713922,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:05:10",70713922,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:05:10",845308522,45,45,45,45,45,45,1,1,0,0,1
501,"2018-05-14 00:05:10",3227975250,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:05:10",3227975251,45,45,45,45,45,45,0,0,0,0,2
