"ID","cdr_ID","calldate","saddr","daddr","dport","ssrc","received","loss","firsttime","payload","maxjitter_mult10","index","flags"
96090664,76107830,"2018-05-01 12:11:57",411685144,1654599251,17394,1101268063,3012,0,0.201738,0,14,1,2
96090665,76107830,"2018-05-01 12:11:57",1654599251,411685144,6770,2133947197,2762,0,1.24955,0,24,2,2
96090666,76107831,"2018-05-01 12:11:09",1275790787,1654599250,18002,2014187960,5290,1,0.841622,0,17,1,2
96090667,76107831,"2018-05-01 12:11:09",1654599250,1275790787,6170,4075925965,5253,0,1.14813,0,259,2,2
96090668,76107832,"2018-05-01 12:11:09",1654599250,417208698,5204,387815149,5284,0,1.2708,9,2,1,2
96090669,76107832,"2018-05-01 12:11:09",417208698,1654599250,21084,264342243,907,0,1.46766,9,29,2,NULL
96090670,76107832,"2018-05-01 12:11:09",417208698,1654599250,21084,747592785,4351,2,19.9617,9,100,3,2
96090671,76107833,"2018-05-01 12:11:57",1654599251,3507478243,18658,2062864077,2990,0,0.121422,0,1,1,2
96090672,76107833,"2018-05-01 12:11:57",3507478243,1654599251,24664,2013637920,2767,0,1.1299,0,39,2,2
96090673,76107834,"2018-05-01 12:07:06",1275790787,3227975507,28874,21569254,17600,4,3.75705,0,26,1,NULL
96090674,76107834,"2018-05-01 12:07:06",3227975507,1275790787,6060,1018942010,17331,1,4.81955,0,36,2,NULL
96090675,76107835,"2018-05-01 12:11:32",3227975506,755171943,2268,527512836,4439,0,3.57135,9,4,1,NULL
96090676,76107835,"2018-05-01 12:11:32",755171943,3227975506,26434,386277344,4435,0,3.66632,9,9,2,NULL
96090677,76107837,"2018-05-01 12:07:06",3227975507,3507478251,17956,3137527546,17591,0,3.0314,0,8,1,NULL
96090678,76107837,"2018-05-01 12:07:06",3507478251,3227975507,26098,439157807,13117,0,4.03231,0,36,2,NULL
96090679,76107837,"2018-05-01 12:07:06",3507478251,3227975507,26098,36374906,4243,0,270.208,0,63,3,NULL
96090680,76107838,"2018-05-01 12:11:34",3438593084,3227975506,16890,1523838067,2627,0,38.2881,0,4,1,NULL
96090681,76107838,"2018-05-01 12:11:34",3227975506,3438593084,10594,3579163478,2614,0,38.357,0,13,2,NULL
96090682,76107840,"2018-05-01 12:12:25",3227975507,3507482183,14822,1025031577,2519,0,1.74853,0,13,1,NULL
96090683,76107840,"2018-05-01 12:12:25",3507482183,3227975507,29500,788752571,1316,0,1.83468,0,37,2,NULL
96090684,76107840,"2018-05-01 12:12:25",3507482183,3227975507,29500,2066359928,1184,1,28.3875,0,45,3,NULL
96090685,76107842,"2018-05-01 12:12:26",3495526469,3227975507,18018,1670449466,2528,0,0.773692,9,3,1,NULL
96090686,76107842,"2018-05-01 12:12:26",3227975507,3495526469,32574,2332572954,2496,0,0.869328,9,162,2,NULL
96090687,76107846,"2018-05-01 12:12:25",3227975507,3507482183,14822,1025031577,2518,0,1.74849,0,13,1,NULL
96090688,76107846,"2018-05-01 12:12:25",3507482183,3227975507,29500,788752571,1316,0,1.8345,0,37,2,NULL
96090689,76107846,"2018-05-01 12:12:25",3507482183,3227975507,29500,2066359928,1185,0,28.3876,0,45,3,NULL
96090690,76107848,"2018-05-01 12:12:26",3495526469,3227975507,18018,1670449466,2527,0,0.772853,9,1,1,NULL
96090691,76107848,"2018-05-01 12:12:26",3227975507,3495526469,32574,2332572954,2495,0,0.868405,9,162,2,NULL
96090692,76107849,"2018-05-01 12:11:45",417230089,1654599251,18966,414209855,4893,1,0.159117,0,3,1,2
96090693,76107849,"2018-05-01 12:11:45",1654599251,417230089,11990,2133531921,4561,1,1.19651,0,38,2,2
96090694,76107850,"2018-05-01 12:11:45",1654599251,3507478246,16488,859848465,4880,1,0.081867,0,2,1,2
96090695,76107850,"2018-05-01 12:11:45",3507478246,1654599251,27632,1670229435,4573,0,1.08969,0,51,2,2
96090696,76107851,"2018-05-01 12:13:13",1654599251,2914253051,2284,2062864153,426,0,7.40305,9,13,1,2
96090697,76107851,"2018-05-01 12:13:13",2914253051,1654599251,20032,405167684,427,0,7.4941,9,46,2,2
96090698,76107853,"2018-05-01 12:13:12",1654599251,2914253051,2272,2133947272,778,0,1.30976,9,13,1,2
96090699,76107853,"2018-05-01 12:13:12",2914253051,1654599251,28706,2782578886,781,0,1.42702,9,52,2,2
