"ID","cdr_ID","calldate","type","pos"
419341257,76100568,"2018-05-01 00:02:09",2,3793920
419341258,76100568,"2018-05-01 00:02:09",2,4451328
419341259,76100568,"2018-05-01 00:02:09",2,5410304
419341260,76100568,"2018-05-01 00:02:09",2,6232064
419341261,76100568,"2018-05-01 00:02:09",2,6922240
419341262,76100568,"2018-05-01 00:02:09",3,17920
419341263,76100568,"2018-05-01 00:02:09",3,60928
419341456,76100571,"2018-05-01 00:03:35",2,1388544
419341457,76100571,"2018-05-01 00:03:35",2,2078720
419341458,76100571,"2018-05-01 00:03:35",2,2604544
419341459,76100571,"2018-05-01 00:03:35",3,34304
419341460,76100571,"2018-05-01 00:03:35",3,35328
419341461,76100571,"2018-05-01 00:03:35",3,39936
419341462,76100574,"2018-05-01 00:03:46",2,3984896
419341463,76100574,"2018-05-01 00:03:46",3,44544
419341464,76100574,"2018-05-01 00:03:46",3,49664
419341465,76100576,"2018-05-01 00:03:25",2,722944
419341466,76100576,"2018-05-01 00:03:25",2,1191424
419341467,76100576,"2018-05-01 00:03:25",2,1552896
419341468,76100576,"2018-05-01 00:03:25",2,2243072
419341469,76100576,"2018-05-01 00:03:25",2,3229184
419341470,76100576,"2018-05-01 00:03:25",2,4823552
419341471,76100576,"2018-05-01 00:03:25",3,54784
419341472,76100576,"2018-05-01 00:03:25",3,65536
419341473,76100577,"2018-05-01 00:02:45",2,2446336
419341474,76100577,"2018-05-01 00:02:45",2,3268096
419341475,76100577,"2018-05-01 00:02:45",2,4122624
419341476,76100577,"2018-05-01 00:02:45",2,4977152
419341477,76100577,"2018-05-01 00:02:45",2,5903360
419341478,76100577,"2018-05-01 00:02:45",2,6725120
419341479,76100577,"2018-05-01 00:02:45",2,7390208
419341480,76100577,"2018-05-01 00:02:45",2,7916032
419341481,76100577,"2018-05-01 00:02:45",2,8244736
419341482,76100577,"2018-05-01 00:02:45",2,9164800
419341483,76100577,"2018-05-01 00:02:45",3,103936
419341484,76100577,"2018-05-01 00:02:45",3,123904
419341485,76100578,"2018-05-01 00:01:57",2,3658752
419341486,76100578,"2018-05-01 00:01:57",2,4872192
419341487,76100578,"2018-05-01 00:01:57",2,5562368
419341488,76100578,"2018-05-01 00:01:57",2,6597632
419341489,76100578,"2018-05-01 00:01:57",2,7320576
419341490,76100578,"2018-05-01 00:01:57",2,8043520
419341491,76100578,"2018-05-01 00:01:57",2,8569344
419341492,76100578,"2018-05-01 00:01:57",2,9162240
419341493,76100578,"2018-05-01 00:01:57",2,9523712
419341494,76100578,"2018-05-01 00:01:57",2,9885184
419341495,76100578,"2018-05-01 00:01:57",2,10082304
419341496,76100578,"2018-05-01 00:01:57",2,10246656
419341497,76100578,"2018-05-01 00:01:57",2,10443776
419341498,76100578,"2018-05-01 00:01:57",2,10608128
419341499,76100578,"2018-05-01 00:01:57",2,10805248
419341500,76100578,"2018-05-01 00:01:57",2,11002368
419341501,76100578,"2018-05-01 00:01:57",2,11166720
419341502,76100578,"2018-05-01 00:01:57",2,11331072
419341503,76100578,"2018-05-01 00:01:57",3,163840
419341504,76100578,"2018-05-01 00:01:57",3,198144
419341505,76100581,"2018-05-01 00:03:23",2,0
419341506,76100581,"2018-05-01 00:03:23",2,164352
419341507,76100581,"2018-05-01 00:03:23",2,361472
419341508,76100581,"2018-05-01 00:03:23",2,525824
419341509,76100581,"2018-05-01 00:03:23",2,690176
419341510,76100581,"2018-05-01 00:03:23",2,854528
419341511,76100581,"2018-05-01 00:03:23",2,1051648
419341512,76100582,"2018-05-01 00:04:22",2,0
419341513,76100582,"2018-05-01 00:04:22",2,361472
419341514,76100583,"2018-05-01 00:02:49",2,2610688
419341515,76100583,"2018-05-01 00:02:49",2,3432448
419341516,76100583,"2018-05-01 00:02:49",2,4780032
419341517,76100583,"2018-05-01 00:02:49",2,5739008
419341518,76100583,"2018-05-01 00:02:49",2,6560768
419341519,76100583,"2018-05-01 00:02:49",2,7225856
419341520,76100583,"2018-05-01 00:02:49",2,7751680
419341521,76100583,"2018-05-01 00:02:49",2,8441856
419341522,76100583,"2018-05-01 00:02:49",2,8803328
419341523,76100583,"2018-05-01 00:02:49",2,9281024
419341524,76100583,"2018-05-01 00:02:49",2,9609728
419341525,76100583,"2018-05-01 00:02:49",2,9938432
419341526,76100583,"2018-05-01 00:02:49",3,143360
419341527,76100583,"2018-05-01 00:02:49",3,167936
419341528,76100584,"2018-05-01 00:03:43",2,2670592
419341529,76100584,"2018-05-01 00:03:43",2,4133376
419341530,76100584,"2018-05-01 00:03:43",2,4975616
419341531,76100584,"2018-05-01 00:03:43",2,5534208
419341532,76100584,"2018-05-01 00:03:43",2,6651392
419341533,76100584,"2018-05-01 00:03:43",3,76288
419341534,76100584,"2018-05-01 00:03:43",3,116224
419341535,76100585,"2018-05-01 00:03:41",2,1750016
