"ID","cdr_ID","calldate","src","dst"
33995759,76100832,"2018-05-01 00:11:23",NULL,3227975504
33995760,76100833,"2018-05-01 00:11:24",NULL,3227975504
33995761,76100834,"2018-05-01 00:11:49",NULL,3227975248
33995762,76100835,"2018-05-01 00:12:20",NULL,1654599240
33995763,76100835,"2018-05-01 00:12:20",NULL,1654599248
33995764,76100836,"2018-05-01 00:11:58",NULL,3227975485
33995765,76100837,"2018-05-01 00:10:41",NULL,3227975504
33995766,76100839,"2018-05-01 00:10:41",NULL,3227975504
33995767,76100840,"2018-05-01 00:12:08",NULL,3227975249
33995768,76100841,"2018-05-01 00:12:08",NULL,3227975249
33995769,76100842,"2018-05-01 00:12:08",NULL,3227975249
33995770,76100843,"2018-05-01 00:12:08",NULL,3227975249
33995771,76100844,"2018-05-01 00:12:08",NULL,3227975249
33995772,76100846,"2018-05-01 00:12:08",NULL,3227975249
33995773,76100847,"2018-05-01 00:12:08",NULL,3227975249
33995774,76100848,"2018-05-01 00:12:08",NULL,3227975249
33995775,76100849,"2018-05-01 00:12:08",NULL,3227975249
33995776,76100850,"2018-05-01 00:12:08",NULL,3227975249
33995777,76100851,"2018-05-01 00:12:15",NULL,3227975248
33995778,76100852,"2018-05-01 00:12:14",NULL,3227975249
33995779,76100855,"2018-05-01 00:12:42",NULL,3227975248
33995780,76100856,"2018-05-01 00:12:50",NULL,3227975504
33995781,76100858,"2018-05-01 00:12:19",NULL,3227975249
33995782,76100859,"2018-05-01 00:12:41",NULL,3227975248
33995783,76100860,"2018-05-01 00:12:35",NULL,3227975249
33995784,76100861,"2018-05-01 00:12:36",NULL,3227975248
33995785,76100862,"2018-05-01 00:12:36",NULL,3227975248
33995786,76100863,"2018-05-01 00:12:46",NULL,3227975248
33995787,76100864,"2018-05-01 00:06:57",NULL,3227975248
33995788,76100866,"2018-05-01 00:07:07",NULL,3227975504
33995789,76100867,"2018-05-01 00:07:07",NULL,3227975504
33995790,76100870,"2018-05-01 00:12:57",NULL,3227975249
33995791,76100871,"2018-05-01 00:12:07",NULL,3227975504
33995792,76100872,"2018-05-01 00:12:08",NULL,3227975504
33995793,76100873,"2018-05-01 00:10:25",NULL,3227975504
33995794,76100874,"2018-05-01 00:12:07",NULL,3227975504
33995795,76100875,"2018-05-01 00:12:08",NULL,3227975504
33995796,76100876,"2018-05-01 00:10:25",NULL,3227975504
33995797,76100877,"2018-05-01 00:13:07",NULL,1654599248
33995798,76100880,"2018-05-01 00:10:15",NULL,3227975249
33995799,76100881,"2018-05-01 00:13:22",NULL,3227975249
33995800,76100882,"2018-05-01 00:13:29",NULL,3227975248
33995801,76100883,"2018-05-01 00:13:23",NULL,3227975248
33995802,76100884,"2018-05-01 00:13:23",NULL,3227975248
33995804,76100886,"2018-05-01 00:13:34",NULL,3227975248
33995806,76100888,"2018-05-01 00:13:43",NULL,3227975504
33995807,76100890,"2018-05-01 00:13:45",NULL,3227975249
33995808,76100891,"2018-05-01 00:14:12",NULL,1654599240
33995809,76100893,"2018-05-01 00:14:07",NULL,3227975504
33995810,76100894,"2018-05-01 00:13:44",NULL,3227975504
33995811,76100896,"2018-05-01 00:14:07",NULL,3227975504
33995812,76100897,"2018-05-01 00:12:07",NULL,3227975249
33995813,76100898,"2018-05-01 00:12:23",NULL,3227975249
33995814,76100899,"2018-05-01 00:13:57",NULL,3227975505
33995815,76100900,"2018-05-01 00:10:45",NULL,3227975505
33995816,76100901,"2018-05-01 00:10:47",NULL,3227975504
33995817,76100905,"2018-05-01 00:14:25",NULL,3227975249
33995818,76100906,"2018-05-01 00:14:26",NULL,3227975249
33995819,76100907,"2018-05-01 00:14:17",NULL,3227975505
33995820,76100908,"2018-05-01 00:14:17",NULL,3227975505
33995821,76100911,"2018-05-01 00:14:51",NULL,3227975504
33995822,76100912,"2018-05-01 00:14:51",NULL,3227975504
33995823,76100915,"2018-05-01 00:15:17",NULL,3227975248
33995824,76100916,"2018-05-01 00:15:04",NULL,3227975248
33995825,76100917,"2018-05-01 00:14:57",NULL,3227975249
33995826,76100919,"2018-05-01 00:14:41",NULL,3227975249
33995827,76100920,"2018-05-01 00:15:03",NULL,3227975485
33995828,76100922,"2018-05-01 00:15:25",NULL,3227975504
33995829,76100923,"2018-05-01 00:14:35",NULL,3227975504
33995830,76100925,"2018-05-01 00:14:58",NULL,3227975248
33995831,76100926,"2018-05-01 00:14:58",NULL,3227975248
33995832,76100928,"2018-05-01 00:14:24",NULL,3227975249
33995833,76100929,"2018-05-01 00:15:09",NULL,3227975248
33995834,76100930,"2018-05-01 00:14:35",NULL,3227975504
33995835,76100931,"2018-05-01 00:15:16",NULL,3227975249
