"ID","cdr_ID","calldate","time","SIPrequest_id","SIPresponse_id","SIPresponseNum"
101326356,76102840,"2018-05-01 01:45:43",3904835296,1,NULL,NULL
101326357,76102840,"2018-05-01 01:45:43",3904835303,1,NULL,NULL
101326358,76102841,"2018-05-01 01:45:42",3905859536,1,NULL,NULL
101326359,76102841,"2018-05-01 01:45:42",3905859542,1,NULL,NULL
101326360,76102841,"2018-05-01 01:45:42",3905860577,1,NULL,NULL
101326361,76102841,"2018-05-01 01:45:42",3905860587,1,NULL,NULL
101326362,76102842,"2018-05-01 01:45:43",3904833932,1,NULL,NULL
101326363,76102843,"2018-05-01 01:45:42",3905861081,1,NULL,NULL
101326364,76102848,"2018-05-01 02:50:53",31141570,1,NULL,NULL
101326365,76102849,"2018-05-01 02:50:52",32207839,1,NULL,NULL
101326366,76102851,"2018-05-01 02:50:53",31142495,1,NULL,NULL
101326367,76102851,"2018-05-01 02:50:53",31142504,1,NULL,NULL
101326368,76102851,"2018-05-01 02:50:53",31143263,1,NULL,NULL
101326369,76102851,"2018-05-01 02:50:53",31143270,1,NULL,NULL
101326370,76102852,"2018-05-01 02:50:52",32207018,1,NULL,NULL
101326371,76102852,"2018-05-01 02:50:52",32207022,1,NULL,NULL
101326372,76102852,"2018-05-01 02:50:52",32207807,1,NULL,NULL
101326373,76102852,"2018-05-01 02:50:52",32207811,1,NULL,NULL
101326374,76102853,"2018-05-01 02:50:29",85661265,1,NULL,NULL
101326375,76102853,"2018-05-01 02:50:29",85661272,1,NULL,NULL
101326376,76102853,"2018-05-01 02:50:29",85661850,1,NULL,NULL
101326377,76102853,"2018-05-01 02:50:29",85661854,1,NULL,NULL
101326378,76102854,"2018-05-01 02:50:29",85661377,1,NULL,NULL
101326379,76102854,"2018-05-01 02:50:29",85661999,1,NULL,NULL
101326380,76102855,"2018-05-01 02:50:21",85721516,1,NULL,NULL
101326381,76102855,"2018-05-01 02:50:21",85721526,1,NULL,NULL
101326382,76102856,"2018-05-01 02:50:19",87740486,1,NULL,NULL
101326383,76102856,"2018-05-01 02:50:19",87740489,1,NULL,NULL
101326384,76102856,"2018-05-01 02:50:19",87740937,1,NULL,NULL
101326385,76102856,"2018-05-01 02:50:19",87740942,1,NULL,NULL
101326386,76102857,"2018-05-01 02:51:45",23057588,1,NULL,NULL
101326387,76102862,"2018-05-01 02:51:45",23057666,1,NULL,NULL
101326388,76102862,"2018-05-01 02:51:45",23057675,1,NULL,NULL
101326389,76102862,"2018-05-01 02:51:45",23058479,1,NULL,NULL
101326390,76102862,"2018-05-01 02:51:45",23058488,1,NULL,NULL
101326391,76102863,"2018-05-01 02:51:20",59123112,1,NULL,NULL
101326392,76102863,"2018-05-01 02:51:20",59123121,1,NULL,NULL
101326393,76102863,"2018-05-01 02:51:20",59123833,1,NULL,NULL
101326394,76102863,"2018-05-01 02:51:20",59123838,1,NULL,NULL
101326395,76102865,"2018-05-01 02:51:22",57672242,1,NULL,NULL
101326396,76102865,"2018-05-01 02:51:22",57672247,1,NULL,NULL
101326397,76102865,"2018-05-01 02:51:22",57672925,1,NULL,NULL
101326398,76102865,"2018-05-01 02:51:22",57672935,1,NULL,NULL
101326399,76102866,"2018-05-01 02:51:20",59123135,1,NULL,NULL
101326400,76102866,"2018-05-01 02:51:20",59123969,1,NULL,NULL
101326401,76102868,"2018-05-01 02:51:22",57672350,1,NULL,NULL
101326402,76102868,"2018-05-01 02:51:22",57672921,1,NULL,NULL
101326403,76102869,"2018-05-01 02:51:12",59122778,1,NULL,NULL
101326404,76102869,"2018-05-01 02:51:12",59122782,1,NULL,NULL
101326405,76102870,"2018-05-01 02:51:13",57672121,1,NULL,NULL
101326406,76102870,"2018-05-01 02:51:13",57672128,1,NULL,NULL
101326407,76102871,"2018-05-01 02:52:42",3853648,1,NULL,NULL
101326408,76102871,"2018-05-01 02:52:42",3853656,1,NULL,NULL
101326409,76102871,"2018-05-01 02:52:42",3854662,1,NULL,NULL
101326410,76102871,"2018-05-01 02:52:42",3854669,1,NULL,NULL
101326411,76102872,"2018-05-01 02:52:44",2558016,1,NULL,NULL
101326412,76102872,"2018-05-01 02:52:44",2558024,1,NULL,NULL
101326413,76102872,"2018-05-01 02:52:44",2558740,1,NULL,NULL
101326414,76102872,"2018-05-01 02:52:44",2558748,1,NULL,NULL
101326415,76102875,"2018-05-01 02:53:21",18999934,1,NULL,NULL
101326416,76102875,"2018-05-01 02:53:21",18999941,1,NULL,NULL
101326417,76102875,"2018-05-01 02:53:21",19000693,1,NULL,NULL
101326418,76102875,"2018-05-01 02:53:21",19000698,1,NULL,NULL
101326419,76102877,"2018-05-01 02:53:53",31030149,1,NULL,NULL
101326420,76102877,"2018-05-01 02:53:53",31030157,1,NULL,NULL
101326421,76102877,"2018-05-01 02:53:53",31030949,1,NULL,NULL
101326422,76102877,"2018-05-01 02:53:53",31030956,1,NULL,NULL
101326423,76102878,"2018-05-01 02:53:56",28220722,1,NULL,NULL
101326424,76102878,"2018-05-01 02:53:56",28220730,1,NULL,NULL
101326425,76102879,"2018-05-01 02:54:05",28220481,1,NULL,NULL
101326426,76102879,"2018-05-01 02:54:05",28221389,1,NULL,NULL
101326427,76102880,"2018-05-01 02:54:05",28220559,1,NULL,NULL
101326428,76102880,"2018-05-01 02:54:05",28220567,1,NULL,NULL
101326429,76102880,"2018-05-01 02:54:05",28221388,1,NULL,NULL
101326430,76102880,"2018-05-01 02:54:05",28221396,1,NULL,NULL
101326431,76102883,"2018-05-01 02:54:33",17105984,1,NULL,NULL
101326432,76102883,"2018-05-01 02:54:33",17105993,1,NULL,NULL
101326433,76102883,"2018-05-01 02:54:33",17106834,1,NULL,NULL
101326434,76102883,"2018-05-01 02:54:33",17106842,1,NULL,NULL
101326435,76102886,"2018-05-01 02:55:21",22820607,1,NULL,NULL
101326436,76102887,"2018-05-01 02:55:21",22820389,1,NULL,NULL
101326437,76102887,"2018-05-01 02:55:21",22820397,1,NULL,NULL
101326438,76102887,"2018-05-01 02:55:21",22821294,1,NULL,NULL
101326439,76102887,"2018-05-01 02:55:21",22821302,1,NULL,NULL
101326440,76102890,"2018-05-01 02:55:29",176284022,1,NULL,NULL
101326441,76102891,"2018-05-01 02:55:46",159125483,1,NULL,NULL
101326442,76102892,"2018-05-01 02:55:29",176284235,1,NULL,NULL
101326443,76102892,"2018-05-01 02:55:29",176284244,1,NULL,NULL
101326444,76102892,"2018-05-01 02:55:29",176284928,1,NULL,NULL
101326445,76102892,"2018-05-01 02:55:29",176284938,1,NULL,NULL
101326446,76102893,"2018-05-01 02:55:46",159125545,1,NULL,NULL
101326447,76102893,"2018-05-01 02:55:46",159125553,1,NULL,NULL
101326448,76102893,"2018-05-01 02:55:46",159126328,1,NULL,NULL
101326449,76102893,"2018-05-01 02:55:46",159126336,1,NULL,NULL
101326450,76102895,"2018-05-01 02:58:08",22337081,1,NULL,NULL
101326451,76102895,"2018-05-01 02:58:08",22337088,1,NULL,NULL
101326452,76102895,"2018-05-01 02:58:08",22337940,1,NULL,NULL
101326453,76102895,"2018-05-01 02:58:08",22337948,1,NULL,NULL
101326454,76102896,"2018-05-01 02:58:08",22337284,1,NULL,NULL
101326455,76102898,"2018-05-01 02:58:16",32928389,1,NULL,NULL
101326456,76102898,"2018-05-01 02:58:16",32928397,1,NULL,NULL
101326457,76102898,"2018-05-01 02:58:16",32929140,1,NULL,NULL
101326458,76102898,"2018-05-01 02:58:16",32929148,1,NULL,NULL
101326459,76102899,"2018-05-01 02:58:17",31709885,1,NULL,NULL
101326460,76102899,"2018-05-01 02:58:17",31709893,1,NULL,NULL
101326461,76102900,"2018-05-01 02:58:25",31709477,1,NULL,NULL
101326462,76102900,"2018-05-01 02:58:25",31709486,1,NULL,NULL
101326463,76102900,"2018-05-01 02:58:25",31710443,1,NULL,NULL
101326464,76102900,"2018-05-01 02:58:25",31710452,1,NULL,NULL
101326465,76102901,"2018-05-01 02:58:25",31709674,1,NULL,NULL
101326466,76102901,"2018-05-01 02:58:25",31710695,1,NULL,NULL
101326467,76102907,"2018-05-01 03:01:52",18872050,1,NULL,NULL
101326468,76102907,"2018-05-01 03:01:52",18872057,1,NULL,NULL
101326469,76102907,"2018-05-01 03:01:52",18872935,1,NULL,NULL
101326470,76102907,"2018-05-01 03:01:52",18872942,1,NULL,NULL
101326471,76102908,"2018-05-01 03:01:53",17255079,1,NULL,NULL
101326472,76102908,"2018-05-01 03:01:53",17255085,1,NULL,NULL
101326473,76102908,"2018-05-01 03:01:53",17256126,1,NULL,NULL
101326474,76102908,"2018-05-01 03:01:53",17256129,1,NULL,NULL
101326475,76102909,"2018-05-01 03:01:53",17255067,1,NULL,NULL
101326476,76102910,"2018-05-01 03:01:52",18872005,1,NULL,NULL
101326477,76102911,"2018-05-01 02:55:07",435606025,1,NULL,NULL
101326478,76102911,"2018-05-01 02:55:07",435606029,1,NULL,NULL
101326479,76102911,"2018-05-01 02:55:07",435612715,1,NULL,NULL
101326480,76102911,"2018-05-01 02:55:07",435612723,1,NULL,NULL
101326481,76102913,"2018-05-01 02:55:08",434588840,1,NULL,NULL
101326482,76102913,"2018-05-01 02:55:08",434588849,1,NULL,NULL
101326483,76102913,"2018-05-01 02:55:08",434589599,1,NULL,NULL
101326484,76102913,"2018-05-01 02:55:08",434589607,1,NULL,NULL
101326485,76102918,"2018-05-01 03:02:30",19675522,1,NULL,NULL
101326486,76102918,"2018-05-01 03:02:30",19675524,1,NULL,NULL
101326487,76102918,"2018-05-01 03:02:30",19676401,1,NULL,NULL
101326488,76102918,"2018-05-01 03:02:30",19676410,1,NULL,NULL
101326489,76102919,"2018-05-01 03:02:28",21291391,1,NULL,NULL
101326490,76102919,"2018-05-01 03:02:28",21291402,1,NULL,NULL
101326491,76102919,"2018-05-01 03:02:28",21292121,1,NULL,NULL
101326492,76102919,"2018-05-01 03:02:28",21292129,1,NULL,NULL
101326493,76102920,"2018-05-01 03:02:30",19675250,1,NULL,NULL
101326494,76102921,"2018-05-01 03:02:28",21291484,1,NULL,NULL
101326495,76102922,"2018-05-01 03:02:47",10518940,1,NULL,NULL
101326496,76102923,"2018-05-01 03:02:47",10518864,1,NULL,NULL
101326497,76102923,"2018-05-01 03:02:47",10518872,1,NULL,NULL
101326498,76102923,"2018-05-01 03:02:47",10519953,1,NULL,NULL
101326499,76102923,"2018-05-01 03:02:47",10519962,1,NULL,NULL
101326500,76102924,"2018-05-01 03:03:59",22906701,1,NULL,NULL
101326501,76102924,"2018-05-01 03:03:59",22906706,1,NULL,NULL
101326502,76102924,"2018-05-01 03:03:59",22907519,1,NULL,NULL
101326503,76102924,"2018-05-01 03:03:59",22907525,1,NULL,NULL
101326504,76102925,"2018-05-01 03:03:59",22906616,1,NULL,NULL
101326505,76102932,"2018-05-01 03:04:56",81064118,1,NULL,NULL
101326506,76102932,"2018-05-01 03:04:56",81064125,1,NULL,NULL
101326507,76102932,"2018-05-01 03:04:56",81064960,1,NULL,NULL
101326508,76102932,"2018-05-01 03:04:56",81064966,1,NULL,NULL
101326509,76102933,"2018-05-01 03:04:04",148058925,1,NULL,NULL
101326510,76102933,"2018-05-01 03:04:04",148058933,1,NULL,NULL
101326511,76102933,"2018-05-01 03:04:04",148059528,1,NULL,NULL
101326512,76102933,"2018-05-01 03:04:04",148059535,1,NULL,NULL
101326513,76102934,"2018-05-01 03:04:06",146204967,1,NULL,NULL
101326514,76102934,"2018-05-01 03:04:06",146204974,1,NULL,NULL
101326515,76102934,"2018-05-01 03:04:06",146205806,1,NULL,NULL
101326516,76102934,"2018-05-01 03:04:06",146205810,1,NULL,NULL
101326517,76102935,"2018-05-01 03:04:04",148058833,1,NULL,NULL
101326518,76102936,"2018-05-01 03:04:06",146204662,1,NULL,NULL
101326519,76102937,"2018-05-01 03:06:49",8619266,1,NULL,NULL
101326520,76102938,"2018-05-01 03:06:49",8619408,1,NULL,NULL
101326521,76102938,"2018-05-01 03:06:49",8619417,1,NULL,NULL
101326522,76102938,"2018-05-01 03:06:49",8620256,1,NULL,NULL
101326523,76102938,"2018-05-01 03:06:49",8620264,1,NULL,NULL
101326524,76102939,"2018-05-01 03:07:58",22137501,1,NULL,NULL
101326525,76102939,"2018-05-01 03:07:58",22137509,1,NULL,NULL
101326526,76102939,"2018-05-01 03:07:58",22138267,1,NULL,NULL
101326527,76102939,"2018-05-01 03:07:58",22138272,1,NULL,NULL
101326528,76102940,"2018-05-01 03:07:58",22137365,1,NULL,NULL
101326529,76102943,"2018-05-01 03:06:22",203095486,1,NULL,NULL
101326530,76102944,"2018-05-01 03:06:22",203095408,1,NULL,NULL
101326531,76102944,"2018-05-01 03:06:22",203095416,1,NULL,NULL
101326532,76102944,"2018-05-01 03:06:22",203096267,1,NULL,NULL
101326533,76102944,"2018-05-01 03:06:22",203096276,1,NULL,NULL
101326534,76102949,"2018-05-01 03:11:00",23949968,1,NULL,NULL
101326535,76102949,"2018-05-01 03:11:00",23949977,1,NULL,NULL
101326536,76102949,"2018-05-01 03:11:00",23950892,1,NULL,NULL
101326537,76102949,"2018-05-01 03:11:00",23950904,1,NULL,NULL
101326538,76102950,"2018-05-01 03:11:00",23949868,1,NULL,NULL
101326539,76102953,"2018-05-01 03:12:03",1915328,1,NULL,NULL
101326540,76102953,"2018-05-01 03:12:03",1915335,1,NULL,NULL
101326541,76102953,"2018-05-01 03:12:03",1916136,1,NULL,NULL
101326542,76102953,"2018-05-01 03:12:03",1916143,1,NULL,NULL
101326543,76102954,"2018-05-01 03:12:29",36048381,1,NULL,NULL
101326544,76102954,"2018-05-01 03:12:29",36049519,1,NULL,NULL
101326545,76102955,"2018-05-01 03:12:29",36048351,1,NULL,NULL
101326546,76102955,"2018-05-01 03:12:29",36048356,1,NULL,NULL
101326547,76102955,"2018-05-01 03:12:29",36049499,1,NULL,NULL
101326548,76102955,"2018-05-01 03:12:29",36049511,1,NULL,NULL
101326549,76102956,"2018-05-01 03:12:20",37208983,1,NULL,NULL
101326550,76102956,"2018-05-01 03:12:20",37208991,1,NULL,NULL
101326551,76102956,"2018-05-01 03:12:20",37209773,1,NULL,NULL
