"cdr_ID","calldate","ip","port","is_caller"
76122857,"2018-05-01 13:46:28",3227975250,26808,1
76122857,"2018-05-01 13:46:28",3345303600,10000,0
76122403,"2018-05-01 13:46:29",3227975507,25390,0
76122420,"2018-05-01 13:46:29",411685143,7470,1
76122420,"2018-05-01 13:46:29",1654599251,25698,0
76122858,"2018-05-01 13:46:29",3345303600,53104,1
76122858,"2018-05-01 13:46:29",3227975250,20670,0
76122592,"2018-05-01 13:46:34",1145337701,9596,1
76122592,"2018-05-01 13:46:34",1654599250,21632,0
76122594,"2018-05-01 13:46:34",1654599250,26326,1
76122594,"2018-05-01 13:46:34",175703356,2234,0
76123142,"2018-05-01 13:46:34",3345303600,10000,1
76123142,"2018-05-01 13:46:34",1654599251,21358,0
76122423,"2018-05-01 13:46:42",1654599250,17990,0
76122425,"2018-05-01 13:46:42",1654599250,30604,0
76122555,"2018-05-01 13:46:42",417208700,10774,1
76122555,"2018-05-01 13:46:42",1654599250,29856,0
76122558,"2018-05-01 13:46:42",1654599250,27106,1
76122558,"2018-05-01 13:46:42",417208698,5176,0
76123164,"2018-05-01 13:46:42",1654599251,25860,1
76123164,"2018-05-01 13:46:42",3345303600,2222,0
76123163,"2018-05-01 13:46:43",3345303600,10000,1
76123163,"2018-05-01 13:46:43",1654599251,21358,0
76122545,"2018-05-01 13:46:55",3227975251,31788,1
76122545,"2018-05-01 13:46:55",3345303600,10000,0
76122546,"2018-05-01 13:46:57",3227975251,17830,0
76122480,"2018-05-01 13:46:59",3227975506,30096,0
76122593,"2018-05-01 13:47:03",1654599250,31756,1
76122593,"2018-05-01 13:47:03",1275790787,6320,0
76122481,"2018-05-01 13:47:04",3227975507,24584,0
76122557,"2018-05-01 13:47:07",1654599250,17742,1
76122557,"2018-05-01 13:47:07",417208698,5052,0
76122456,"2018-05-01 13:47:08",1654599250,32122,0
76122589,"2018-05-01 13:47:08",1654599250,17740,0
76122544,"2018-05-01 13:47:10",3227975506,17600,0
76122598,"2018-05-01 13:47:12",2886735043,5034,1
76122598,"2018-05-01 13:47:12",1654599250,24132,0
76123345,"2018-05-01 13:47:14",1654599250,27890,1
76123345,"2018-05-01 13:47:14",417230089,9700,0
76123346,"2018-05-01 13:47:14",3507478246,19776,1
76123346,"2018-05-01 13:47:14",1654599250,27586,0
76122553,"2018-05-01 13:47:17",3227975507,21604,0
76122554,"2018-05-01 13:47:17",3227975507,24540,0
76122556,"2018-05-01 13:47:17",3227975507,26332,0
76122588,"2018-05-01 13:47:17",3227975507,26480,0
76122590,"2018-05-01 13:47:17",0,2280,1
76122590,"2018-05-01 13:47:17",3227975507,24808,0
76122950,"2018-05-01 13:47:25",2393098834,5018,1
76122950,"2018-05-01 13:47:25",3227975507,30608,0
