,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
23409,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 99.229.200.208 is not in the database.,The address 99.229.200.208 is not in the database.,0.0,0.0
23413,The address 64.253.148.142 is not in the database.,The address 64.253.148.142 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
23464,The address 4.55.1.194 is not in the database.,The address 4.55.1.194 is not in the database.,0.0,0.0,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0
23466,The address 184.71.155.78 is not in the database.,The address 184.71.155.78 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
23607,The address 99.199.111.22 is not in the database.,The address 99.199.111.22 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
23678,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 64.56.146.119 is not in the database.,The address 64.56.146.119 is not in the database.,0.0,0.0
23691,The address 208.89.130.21 is not in the database.,The address 208.89.130.21 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
23800,The address 216.13.74.18 is not in the database.,The address 216.13.74.18 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
23801,The address 98.159.46.83 is not in the database.,The address 98.159.46.83 is not in the database.,0.0,0.0,The address 99.228.63.64 is not in the database.,The address 99.228.63.64 is not in the database.,0.0,0.0
23803,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 172.110.65.210 is not in the database.,The address 172.110.65.210 is not in the database.,0.0,0.0
23804,The address 64.16.248.50 is not in the database.,The address 64.16.248.50 is not in the database.,0.0,0.0,The address 98.159.46.83 is not in the database.,The address 98.159.46.83 is not in the database.,0.0,0.0
23805,The address 98.159.46.83 is not in the database.,The address 98.159.46.83 is not in the database.,0.0,0.0,The address 96.95.108.50 is not in the database.,The address 96.95.108.50 is not in the database.,0.0,0.0
23857,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 172.14.150.86 is not in the database.,The address 172.14.150.86 is not in the database.,0.0,0.0
23873,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0,The address 99.237.116.133 is not in the database.,The address 99.237.116.133 is not in the database.,0.0,0.0
23961,The address 207.34.54.233 is not in the database.,The address 207.34.54.233 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
23966,The address 64.253.154.147 is not in the database.,The address 64.253.154.147 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
23998,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0,The address 64.34.74.83 is not in the database.,The address 64.34.74.83 is not in the database.,0.0,0.0
24015,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 99.249.77.215 is not in the database.,The address 99.249.77.215 is not in the database.,0.0,0.0
24059,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 208.118.140.238 is not in the database.,The address 208.118.140.238 is not in the database.,0.0,0.0
24168,The address 208.69.82.68 is not in the database.,The address 208.69.82.68 is not in the database.,0.0,0.0,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0
24191,The address 216.251.136.82 is not in the database.,The address 216.251.136.82 is not in the database.,0.0,0.0,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0
24195,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 216.251.136.82 is not in the database.,The address 216.251.136.82 is not in the database.,0.0,0.0
24236,The address 24.80.212.235 is not in the database.,The address 24.80.212.235 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
24332,The address 98.159.46.83 is not in the database.,The address 98.159.46.83 is not in the database.,0.0,0.0,The address 216.251.136.82 is not in the database.,The address 216.251.136.82 is not in the database.,0.0,0.0
24369,The address 65.39.245.211 is not in the database.,The address 65.39.245.211 is not in the database.,0.0,0.0,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0
24376,The address 74.120.93.69 is not in the database.,The address 74.120.93.69 is not in the database.,0.0,0.0,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0
24395,The address 24.50.189.216 is not in the database.,The address 24.50.189.216 is not in the database.,0.0,0.0,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0
24422,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0,The address 98.172.65.51 is not in the database.,The address 98.172.65.51 is not in the database.,0.0,0.0
24442,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 74.205.211.122 is not in the database.,The address 74.205.211.122 is not in the database.,0.0,0.0
24466,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 207.34.54.233 is not in the database.,The address 207.34.54.233 is not in the database.,0.0,0.0
24484,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 64.253.148.230 is not in the database.,The address 64.253.148.230 is not in the database.,0.0,0.0
24489,The address 98.159.46.83 is not in the database.,The address 98.159.46.83 is not in the database.,0.0,0.0,The address 73.65.60.125 is not in the database.,The address 73.65.60.125 is not in the database.,0.0,0.0
24502,The address 50.115.187.250 is not in the database.,The address 50.115.187.250 is not in the database.,0.0,0.0,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0
24548,The address 104.63.183.89 is not in the database.,The address 104.63.183.89 is not in the database.,0.0,0.0,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0
24662,The address 173.32.79.145 is not in the database.,The address 173.32.79.145 is not in the database.,0.0,0.0,The address 98.159.46.82 is not in the database.,The address 98.159.46.82 is not in the database.,0.0,0.0
24731,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0,The address 72.139.204.117 is not in the database.,The address 72.139.204.117 is not in the database.,0.0,0.0
24778,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0,The address 199.167.109.148 is not in the database.,The address 199.167.109.148 is not in the database.,0.0,0.0
24809,The address 173.32.79.145 is not in the database.,The address 173.32.79.145 is not in the database.,0.0,0.0,The address 98.159.46.83 is not in the database.,The address 98.159.46.83 is not in the database.,0.0,0.0
24821,The address 162.213.157.228 is not in the database.,The address 162.213.157.228 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
24841,The address 207.216.134.165 is not in the database.,The address 207.216.134.165 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
24849,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 204.101.100.12 is not in the database.,The address 204.101.100.12 is not in the database.,0.0,0.0
24899,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 64.253.150.106 is not in the database.,The address 64.253.150.106 is not in the database.,0.0,0.0
24967,The address 98.143.94.29 is not in the database.,The address 98.143.94.29 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
24968,The address 108.215.36.219 is not in the database.,The address 108.215.36.219 is not in the database.,0.0,0.0,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0
24970,The address 99.237.116.133 is not in the database.,The address 99.237.116.133 is not in the database.,0.0,0.0,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0
25006,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0,The address 209.165.1.212 is not in the database.,The address 209.165.1.212 is not in the database.,0.0,0.0
25049,The address 50.246.108.245 is not in the database.,The address 50.246.108.245 is not in the database.,0.0,0.0,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0
25072,The address 98.159.46.83 is not in the database.,The address 98.159.46.83 is not in the database.,0.0,0.0,The address 50.246.108.245 is not in the database.,The address 50.246.108.245 is not in the database.,0.0,0.0
25073,The address 50.249.31.21 is not in the database.,The address 50.249.31.21 is not in the database.,0.0,0.0,The address 98.159.46.83 is not in the database.,The address 98.159.46.83 is not in the database.,0.0,0.0
25094,The address 98.159.46.83 is not in the database.,The address 98.159.46.83 is not in the database.,0.0,0.0,The address 199.255.121.224 is not in the database.,The address 199.255.121.224 is not in the database.,0.0,0.0
25096,The address 208.118.140.238 is not in the database.,The address 208.118.140.238 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
25103,The address 142.176.19.200 is not in the database.,The address 142.176.19.200 is not in the database.,0.0,0.0,The address 98.159.46.82 is not in the database.,The address 98.159.46.82 is not in the database.,0.0,0.0
25155,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 204.244.44.72 is not in the database.,The address 204.244.44.72 is not in the database.,0.0,0.0
25167,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 184.70.143.10 is not in the database.,The address 184.70.143.10 is not in the database.,0.0,0.0
25201,The address 98.159.46.82 is not in the database.,The address 98.159.46.82 is not in the database.,0.0,0.0,The address 99.229.200.208 is not in the database.,The address 99.229.200.208 is not in the database.,0.0,0.0
25224,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 72.38.227.131 is not in the database.,The address 72.38.227.131 is not in the database.,0.0,0.0
25244,The address 98.143.81.246 is not in the database.,The address 98.143.81.246 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
25248,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0,The address 216.254.141.36 is not in the database.,The address 216.254.141.36 is not in the database.,0.0,0.0
25308,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 96.53.67.195 is not in the database.,The address 96.53.67.195 is not in the database.,0.0,0.0
25389,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 199.182.221.34 is not in the database.,The address 199.182.221.34 is not in the database.,0.0,0.0
25433,The address 65.39.245.211 is not in the database.,The address 65.39.245.211 is not in the database.,0.0,0.0,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0
25436,The address 72.139.204.117 is not in the database.,The address 72.139.204.117 is not in the database.,0.0,0.0,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0
25543,The address 99.199.80.41 is not in the database.,The address 99.199.80.41 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
25677,The address 173.178.99.159 is not in the database.,The address 173.178.99.159 is not in the database.,0.0,0.0,The address 98.159.46.83 is not in the database.,The address 98.159.46.83 is not in the database.,0.0,0.0
25707,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0,The address 207.115.104.50 is not in the database.,The address 207.115.104.50 is not in the database.,0.0,0.0
25729,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 24.50.189.216 is not in the database.,The address 24.50.189.216 is not in the database.,0.0,0.0
25745,The address 24.37.216.114 is not in the database.,The address 24.37.216.114 is not in the database.,0.0,0.0,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0
25752,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0,The address 97.78.209.30 is not in the database.,The address 97.78.209.30 is not in the database.,0.0,0.0
25832,The address 107.179.149.19 is not in the database.,The address 107.179.149.19 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
25835,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 207.81.117.195 is not in the database.,The address 207.81.117.195 is not in the database.,0.0,0.0
25913,The address 98.159.46.83 is not in the database.,The address 98.159.46.83 is not in the database.,0.0,0.0,The address 142.176.19.200 is not in the database.,The address 142.176.19.200 is not in the database.,0.0,0.0
25914,The address 142.166.53.164 is not in the database.,The address 142.166.53.164 is not in the database.,0.0,0.0,The address 98.159.46.83 is not in the database.,The address 98.159.46.83 is not in the database.,0.0,0.0
25940,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 96.53.67.195 is not in the database.,The address 96.53.67.195 is not in the database.,0.0,0.0
25984,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 64.253.148.142 is not in the database.,The address 64.253.148.142 is not in the database.,0.0,0.0
26058,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0,The address 104.145.0.6 is not in the database.,The address 104.145.0.6 is not in the database.,0.0,0.0
26191,The address 64.16.248.242 is not in the database.,The address 64.16.248.242 is not in the database.,0.0,0.0,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0
26229,The address 216.221.154.119 is not in the database.,The address 216.221.154.119 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
26302,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 208.68.17.35 is not in the database.,The address 208.68.17.35 is not in the database.,0.0,0.0
26303,The address 174.7.176.89 is not in the database.,The address 174.7.176.89 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
26463,The address 184.69.203.166 is not in the database.,The address 184.69.203.166 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
26478,The address 174.1.117.28 is not in the database.,The address 174.1.117.28 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
26508,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 216.221.68.123 is not in the database.,The address 216.221.68.123 is not in the database.,0.0,0.0
26574,The address 174.119.3.234 is not in the database.,The address 174.119.3.234 is not in the database.,0.0,0.0,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0
26633,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 24.123.22.218 is not in the database.,The address 24.123.22.218 is not in the database.,0.0,0.0
26709,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 97.78.209.30 is not in the database.,The address 97.78.209.30 is not in the database.,0.0,0.0
26743,The address 205.205.107.11 is not in the database.,The address 205.205.107.11 is not in the database.,0.0,0.0,The address 98.159.46.83 is not in the database.,The address 98.159.46.83 is not in the database.,0.0,0.0
26768,The address 64.16.248.242 is not in the database.,The address 64.16.248.242 is not in the database.,0.0,0.0,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0
26788,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 209.15.238.43 is not in the database.,The address 209.15.238.43 is not in the database.,0.0,0.0
26811,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 209.165.1.212 is not in the database.,The address 209.165.1.212 is not in the database.,0.0,0.0
26830,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 208.118.140.238 is not in the database.,The address 208.118.140.238 is not in the database.,0.0,0.0
26856,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 50.249.31.21 is not in the database.,The address 50.249.31.21 is not in the database.,0.0,0.0
26874,The address 97.78.220.46 is not in the database.,The address 97.78.220.46 is not in the database.,0.0,0.0,The address 98.159.46.82 is not in the database.,The address 98.159.46.82 is not in the database.,0.0,0.0
26875,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 174.7.166.50 is not in the database.,The address 174.7.166.50 is not in the database.,0.0,0.0
26882,The address 64.253.150.106 is not in the database.,The address 64.253.150.106 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
26900,The address 205.205.107.9 is not in the database.,The address 205.205.107.9 is not in the database.,0.0,0.0,The address 98.159.46.83 is not in the database.,The address 98.159.46.83 is not in the database.,0.0,0.0
26906,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 50.101.106.186 is not in the database.,The address 50.101.106.186 is not in the database.,0.0,0.0
